Column1,Material,Diameter (nm),Zeta potential (mV),Cell_type,Cancer_cell,Viability (%),Coat,Line_Primary_Cell,Animal,Cell_morphology,Cell_age,Cell_organ,Time (h),Test,Test_indicator,Molecular weight (g/mol),Electronegativity,Element,Ionic radius
399,Au,215.00,24.40,143B,Yes,16.38,0.00,L,human,Mixed,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
400,Au,215.00,24.40,143B,Yes,17.12,0.00,L,human,Mixed,Adult,bone,24.00,NRU,NeutralRed,196.97,2.54,Au,1.07
401,Au,18.00,24.40,MG-63,Yes,81.04,0.00,L,human,Fibroblast,Adult,bone,24.00,NRU,NeutralRed,196.97,2.54,Au,1.07
402,Au,18.00,24.40,MG-63,Yes,90.65,0.00,L,human,Fibroblast,Adult,bone,24.00,NRU,NeutralRed,196.97,2.54,Au,1.07
403,Au,18.00,24.40,MG-63,Yes,95.07,0.00,L,human,Fibroblast,Adult,bone,24.00,NRU,NeutralRed,196.97,2.54,Au,1.07
404,Au,6.30,24.40,MG-63,Yes,95.31,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
405,Au,6.30,24.40,MG-63,Yes,94.16,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
406,Au,6.30,24.40,MG-63,Yes,100.00,0.00,L,human,Fibroblast,Adult,bone,24.00,NRU,NeutralRed,196.97,2.54,Au,1.07
407,Au,18.00,24.40,143B,Yes,85.48,0.00,L,human,Mixed,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
408,Au,18.00,24.40,143B,Yes,54.09,0.00,L,human,Mixed,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
409,Au,6.30,24.40,143B,Yes,103.26,0.00,L,human,Mixed,Adult,bone,24.00,NRU,NeutralRed,196.97,2.54,Au,1.07
410,Au,215.00,24.40,143B,Yes,67.99,0.00,L,human,Mixed,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
411,Au,270.00,24.40,RAW 264.7,Yes,93.16,0.00,L,mouse,Monocyte/Macrophage,Adult,ascites,48.00,Live/Dead,PropidiumIodide,196.97,2.54,Au,1.07
412,Au,6.30,24.40,143B,Yes,103.26,0.00,L,human,Mixed,Adult,bone,24.00,NRU,NeutralRed,196.97,2.54,Au,1.07
413,Au,6.00,24.40,MCF-7,Yes,69.68,0.00,L,human,Epithelial,Adult,breast,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
414,Au,61.46,24.40,CCL-110,Yes,46.85,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
415,Au,61.46,24.40,CCL-110,Yes,71.56,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
416,Au,61.46,24.40,CCL-110,Yes,75.52,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
417,Au,61.46,24.40,CCL-110,Yes,79.49,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
418,Au,61.46,24.40,CCL-110,Yes,72.49,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
419,Au,61.46,24.40,CCL-110,Yes,2.10,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
420,Au,61.46,24.40,CCL-110,Yes,86.25,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
421,Au,61.46,24.40,CCL-110,Yes,59.44,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
422,Au,61.46,24.40,RFPEC,No,99.39,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
423,Au,33.69,24.40,RFPEC,No,113.39,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
424,Au,61.46,24.40,RFPEC,No,81.21,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
425,Au,61.46,24.40,RFPEC,No,1.21,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
426,Au,61.46,24.40,RFPEC,No,94.24,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
427,Au,61.46,24.40,CCL-110,Yes,82.28,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
428,Au,61.46,24.40,CCL-110,Yes,84.15,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
429,Au,61.46,24.40,CCL-110,Yes,81.82,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
430,Au,61.46,24.40,RFPEC,No,119.70,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
431,Au,61.46,24.40,RFPEC,No,118.79,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
432,Au,61.46,24.40,RFPEC,No,6.67,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
433,Au,61.46,24.40,RFPEC,No,1.21,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
434,Au,33.69,24.40,CCL-110,Yes,108.99,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
435,Au,33.69,24.40,CCL-110,Yes,135.36,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
436,Au,33.69,24.40,CCL-110,Yes,131.59,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
437,Au,33.69,24.40,CCL-110,Yes,153.91,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
438,Au,33.69,24.40,CCL-110,Yes,145.22,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
439,Au,33.69,24.40,CCL-110,Yes,140.00,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
440,Au,50.00,24.40,HepG2,Yes,102.43,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
441,Au,65.00,24.40,CCL-110,Yes,72.44,0.00,P,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
442,Au,65.00,24.40,CCL-110,Yes,75.78,0.00,P,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
443,Au,65.00,24.40,CCL-110,Yes,89.11,0.00,P,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
444,Au,6.00,24.40,H1299,Yes,89.18,0.00,L,human,Epithelial,Adult,lung,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
445,Au,6.00,24.40,H1299,Yes,57.02,0.00,L,human,Epithelial,Adult,lung,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
446,Au,20.00,24.40,L-02,Yes,94.71,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
447,Au,50.00,24.40,L-02,Yes,99.22,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
448,Au,50.00,24.40,L-02,Yes,96.08,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
449,Au,50.00,24.40,L-02,Yes,95.69,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
450,Au,20.00,24.40,L-02,Yes,91.57,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
451,Au,61.46,24.40,RFPEC,No,90.30,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
452,Au,5.00,24.40,L-02,Yes,6.67,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
453,Au,20.00,24.40,L-02,Yes,92.55,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
454,Au,20.00,24.40,L-02,Yes,92.75,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
455,Au,5.00,24.40,L-02,Yes,20.78,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
456,Au,5.00,24.40,L-02,Yes,33.73,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
457,Au,5.00,24.40,L-02,Yes,73.33,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
458,Au,50.00,24.40,HepG2,Yes,96.35,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
459,Au,50.00,24.40,HepG2,Yes,98.38,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
460,Au,33.69,24.40,CCL-110,Yes,137.68,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
461,Au,50.00,24.40,L-02,Yes,93.14,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
462,Au,5.00,24.40,L-02,Yes,10.00,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
463,Au,50.00,24.40,L-02,Yes,96.47,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
464,Au,20.00,24.40,L-02,Yes,93.14,0.00,L,human,Epithelial,Embryonic,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
465,Au,33.69,24.40,CCL-110,Yes,78.55,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
466,Au,33.69,24.40,CCL-110,Yes,128.70,0.00,L,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
467,Au,50.00,24.40,HepG2,Yes,102.03,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
468,Au,90.00,24.40,NHDF,No,72.93,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
469,Au,90.00,24.40,NHDF,No,87.64,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
470,Au,90.00,24.40,NHDF,No,90.85,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
471,Au,90.00,24.40,NHDF,No,99.63,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
472,Au,50.00,24.40,NHDF,No,7.23,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
473,Au,50.00,24.40,NHDF,No,68.78,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
474,Au,50.00,24.40,NHDF,No,80.46,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
475,Au,50.00,24.40,NHDF,No,98.86,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
476,Au,30.00,24.40,NHDF,No,6.60,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
477,Au,30.00,24.40,NHDF,No,68.66,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
478,Au,30.00,24.40,NHDF,No,77.92,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
479,Au,30.00,24.40,NHDF,No,81.98,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
480,Au,30.00,24.40,NHDF,No,98.60,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
481,Au,6.00,24.40,H1299,Yes,47.13,0.00,L,human,Epithelial,Adult,lung,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
482,Au,90.00,24.40,NHDF,No,19.78,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
483,Au,6.00,24.40,H1299,Yes,72.85,0.00,L,human,Epithelial,Adult,lung,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
484,Au,30.00,24.40,NHDF,No,96.70,0.00,L,human,Fibroblast,Adult,skin,48.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
485,Au,6.00,24.40,HeLa,Yes,75.87,0.00,L,human,Epithelial,Adult,cervix,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
486,Au,61.46,24.40,RFPEC,No,23.03,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
487,Au,50.00,24.40,NHDF,No,84.26,0.00,L,human,Fibroblast,Adult,skin,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
488,Au,61.46,24.40,RFPEC,No,120.00,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
489,Au,215.00,24.40,MG-63,Yes,43.36,0.00,L,human,Fibroblast,Adult,bone,24.00,NRU,NeutralRed,196.97,2.54,Au,1.07
490,Au,30.00,24.40,NHDF,No,77.28,0.00,L,human,Fibroblast,Adult,skin,48.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
491,Au,38.00,24.40,MG-63,Yes,79.53,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
492,Au,61.46,24.40,RFPEC,No,109.39,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
493,Au,21.70,-7.60,C17.2,No,92.56,PEG,L,mouse,Neuronal,Adult,brain,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
494,Au,21.70,-7.60,HUVEC,No,95.48,PEG,P,human,Endothelial,Embryonic,umbilical cord,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
495,Au,20.00,24.40,HEK-293,No,42.93,0.00,L,human,Epithelial,Embryonic,kidney,48.00,WST-1,TetrazoliumSalt,196.97,2.54,Au,1.07
496,Au,33.69,24.40,RFPEC,No,108.26,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
497,Au,33.69,24.40,RFPEC,No,70.94,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
498,Au,33.69,24.40,RFPEC,No,92.31,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
499,Au,50.00,24.40,HepG2,Yes,102.43,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
500,Au,33.69,24.40,RFPEC,No,126.78,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
501,Au,20.00,24.40,HepG2,Yes,98.38,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
502,Au,20.00,24.40,HEK-293,No,100.76,0.00,L,human,Epithelial,Embryonic,kidney,48.00,WST-1,TetrazoliumSalt,196.97,2.54,Au,1.07
503,Au,20.00,24.40,HEK-293,No,101.52,0.00,L,human,Epithelial,Embryonic,kidney,48.00,WST-1,TetrazoliumSalt,196.97,2.54,Au,1.07
504,Au,5.00,24.40,HepG2,Yes,109.53,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
505,Au,20.00,24.40,HEK-293,No,100.25,0.00,L,human,Epithelial,Embryonic,kidney,48.00,WST-1,TetrazoliumSalt,196.97,2.54,Au,1.07
506,Au,20.00,24.40,HEK-293,No,94.18,0.00,L,human,Epithelial,Embryonic,kidney,48.00,WST-1,TetrazoliumSalt,196.97,2.54,Au,1.07
507,Au,20.00,24.40,HEK-293,No,88.10,0.00,L,human,Epithelial,Embryonic,kidney,48.00,WST-1,TetrazoliumSalt,196.97,2.54,Au,1.07
508,Au,20.00,24.40,HEK-293,No,101.52,0.00,L,human,Epithelial,Embryonic,kidney,48.00,WST-1,TetrazoliumSalt,196.97,2.54,Au,1.07
509,Au,65.00,24.40,CCL-110,Yes,90.89,0.00,P,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
510,Au,65.00,24.40,CCL-110,Yes,83.33,0.00,P,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
511,Au,65.00,24.40,CCL-110,Yes,79.56,0.00,P,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
512,Au,65.00,24.40,CCL-110,Yes,77.33,0.00,P,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
513,Au,65.00,24.40,CCL-110,Yes,80.44,0.00,P,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
514,Au,65.00,24.40,CCL-110,Yes,83.11,0.00,P,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
515,Au,65.00,24.40,CCL-110,Yes,72.44,0.00,P,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
516,Au,5.00,24.40,HepG2,Yes,81.47,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
517,Au,38.00,24.40,MG-63,Yes,98.83,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
518,Au,20.00,24.40,HepG2,Yes,107.91,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
519,Au,20.00,24.40,HepG2,Yes,106.49,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
520,Au,65.00,24.40,CCL-110,Yes,86.00,0.00,P,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
521,Au,20.00,24.40,HepG2,Yes,101.01,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
522,Au,20.00,24.40,HepG2,Yes,98.38,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
523,Au,65.00,24.40,CCL-110,Yes,77.33,0.00,P,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
524,Au,5.00,24.40,HepG2,Yes,116.63,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
525,Au,5.00,24.40,HepG2,Yes,102.43,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
526,Au,46.00,24.40,MG-63,Yes,91.13,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
527,Au,65.00,24.40,CCL-110,Yes,83.78,0.00,P,human,Fibroblast,Fetus,skin,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
528,Au,46.00,24.40,MG-63,Yes,47.85,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
529,Au,60.00,24.40,MG-63,Yes,91.13,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
530,Au,60.00,24.40,MG-63,Yes,87.35,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
531,Au,60.00,24.40,MG-63,Yes,56.85,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
532,Au,46.00,24.40,MG-63,Yes,87.22,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
533,Au,5.00,24.40,HepG2,Yes,106.09,0.00,L,human,Epithelial,Adult,liver,72.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
534,Au,38.00,24.40,MG-63,Yes,91.13,0.00,L,human,Fibroblast,Adult,bone,24.00,MTT,TetrazoliumSalt,196.97,2.54,Au,1.07
535,Au,33.69,24.40,RFPEC,No,121.08,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
536,Au,65.00,24.40,CCL-110,Yes,62.00,0.00,P,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
537,Au,65.00,24.40,CCL-110,Yes,83.56,0.00,P,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
538,Au,65.00,24.40,CCL-110,Yes,77.56,0.00,P,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
539,Au,33.69,24.40,CCL-110,Yes,94.20,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
540,Au,33.69,24.40,RFPEC,No,106.84,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
541,Au,33.69,24.40,RFPEC,No,116.24,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
542,Au,33.69,24.40,RFPEC,No,110.54,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
543,Au,33.69,24.40,RFPEC,No,105.13,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
544,Au,33.69,24.40,RFPEC,No,121.65,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
545,Au,33.69,24.40,RFPEC,No,117.66,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
546,Au,33.69,24.40,RFPEC,No,120.51,0.00,L,rat,Endothelial,Adult,fatpad,24.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
547,Au,33.69,24.40,CCL-110,Yes,85.51,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
548,Au,33.69,24.40,CCL-110,Yes,98.84,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
549,Au,33.69,24.40,RFPEC,No,78.63,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
550,Au,33.69,24.40,CCL-110,Yes,99.13,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
551,Au,33.69,24.40,CCL-110,Yes,92.17,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
552,Au,33.69,24.40,CCL-110,Yes,88.41,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
553,Au,33.69,24.40,RFPEC,No,85.76,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
554,Au,33.69,24.40,CCL-110,Yes,78.26,0.00,L,human,Fibroblast,Fetus,skin,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
555,Au,33.69,24.40,RFPEC,No,116.24,0.00,L,rat,Endothelial,Adult,fatpad,96.00,MTS,TetrazoliumSalt,196.97,2.54,Au,1.07
556,CdO,179.30,88.18,Neuro-2a,Yes,2.58,0.00,L,mouse,Neuronal,Adult,brain,24.00,MTT,TetrazoliumSalt,128.41,2.57,Cd,1.09
557,CdO,179.30,88.18,Neuro-2a,Yes,13.75,0.00,L,mouse,Neuronal,Adult,brain,24.00,MTT,TetrazoliumSalt,128.41,2.57,Cd,1.09
558,CdO,179.30,88.18,Neuro-2a,Yes,1.15,0.00,L,mouse,Neuronal,Adult,brain,24.00,MTT,TetrazoliumSalt,128.41,2.57,Cd,1.09
559,CdO,179.30,88.18,Neuro-2a,Yes,2.58,0.00,L,mouse,Neuronal,Adult,brain,24.00,MTT,TetrazoliumSalt,128.41,2.57,Cd,1.09
560,CdO,179.30,88.18,Neuro-2a,Yes,14.61,0.00,L,mouse,Neuronal,Adult,brain,24.00,MTT,TetrazoliumSalt,128.41,2.57,Cd,1.09
561,CeO2,25.00,20.02,HT-1080,Yes,106.02,0.00,L,human,Epithelial,Adult,connective tissue,24.00,MTT,TetrazoliumSalt,172.11,2.67,Ce,1.08
562,CeO2,25.00,20.02,MCF-7,Yes,112.00,0.00,L,human,Epithelial,Adult,breast,24.00,NRU,NeutralRed,172.11,2.67,Ce,1.08
563,CeO2,12.50,20.02,HT29,Yes,95.41,0.00,L,human,Epithelial,Adult,colon,24.00,MTT,TetrazoliumSalt,172.11,2.67,Ce,1.08
564,CeO2,25.00,20.02,HT-1080,Yes,105.14,0.00,L,human,Epithelial,Adult,connective tissue,24.00,NRU,NeutralRed,172.11,2.67,Ce,1.08
565,CeO2,12.50,20.02,HT29,Yes,79.37,0.00,L,human,Epithelial,Adult,colon,24.00,MTT,TetrazoliumSalt,172.11,2.67,Ce,1.08
566,CeO2,12.50,20.02,HT29,Yes,89.07,0.00,L,human,Epithelial,Adult,colon,24.00,MTT,TetrazoliumSalt,172.11,2.67,Ce,1.08
